idSphot,pays,region,departement,ville,villeLat,villeLng,logoVille,siteInternetVille,nomSecours,nomSphot,sphotLat,sphotLng,typeSphot,natureSphot,adresseWebcam,arretesMunicipaux,equipement,labelPlage,accesPmr,moyenPmr,labelPmr
1,FRANCE,PAYS DE LA LOIRE,VENDÉE,LONGEVILLE SUR MER,46.4239905,-1.4897044,https://scontent-cdg6-1.xx.fbcdn.net/v/t39.30808-6/307579920_468239052016022_695035477083931743_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=6ee11a&_nc_ohc=LEg2SLQGJowQ7kNvwE9CNsc&_nc_oc=AdpkyqcRgCQCqNCH9SyOCTjj2SKBWDpbsB8OwnvSyf4sMbEVyicHOAjRq5LGuAZoD1GQz41p9qxE_7_DB9UvxCW-&_nc_zt=23&_nc_ht=scontent-cdg6-1.xx&_nc_gid=RuATvpxH1_XSzYELyXzHZg&_nc_ss=7b289&oh=00_Af7gLGVObFx8MMAy1QBk7cvyn6rKREBwQwyZS6gVEPmXWA&oe=6A20A13B,https://www.mairie-longevillesurmer.fr/,LONGE 01,PLAGE DU GOULET,46.4098229,-1.5398990,⛱️ ACCÈS PLAGE,⛱️ SABLE,,https://www.mairie-longevillesurmer.fr/medias/2025/04/2025-123-Reglementation-baignades-et-securite-des-plages.pdf,"AUCUN, 🚯 SANS POUBELLE, 🅿️ PARKING, 🚻 TOILETTES",AUCUN,AUCUN,AUCUN,AUCUN
2,FRANCE,PAYS DE LA LOIRE,VENDÉE,LONGEVILLE SUR MER,46.4239905,-1.4897044,https://scontent-cdg6-1.xx.fbcdn.net/v/t39.30808-6/307579920_468239052016022_695035477083931743_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=6ee11a&_nc_ohc=LEg2SLQGJowQ7kNvwE9CNsc&_nc_oc=AdpkyqcRgCQCqNCH9SyOCTjj2SKBWDpbsB8OwnvSyf4sMbEVyicHOAjRq5LGuAZoD1GQz41p9qxE_7_DB9UvxCW-&_nc_zt=23&_nc_ht=scontent-cdg6-1.xx&_nc_gid=RuATvpxH1_XSzYELyXzHZg&_nc_ss=7b289&oh=00_Af7gLGVObFx8MMAy1QBk7cvyn6rKREBwQwyZS6gVEPmXWA&oe=6A20A13B,https://www.mairie-longevillesurmer.fr/,LONGE 02,PLAGE DE LA CARTIÈRE AUX CHATS,46.4094508,-1.5371528,⛱️ ACCÈS PLAGE,⛱️ SABLE,,https://www.mairie-longevillesurmer.fr/medias/2025/04/2025-123-Reglementation-baignades-et-securite-des-plages.pdf,"AUCUN, 🚯 SANS POUBELLE",AUCUN,AUCUN,AUCUN,AUCUN
3,FRANCE,PAYS DE LA LOIRE,VENDÉE,LONGEVILLE SUR MER,46.4239905,-1.4897044,https://scontent-cdg6-1.xx.fbcdn.net/v/t39.30808-6/307579920_468239052016022_695035477083931743_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=6ee11a&_nc_ohc=LEg2SLQGJowQ7kNvwE9CNsc&_nc_oc=AdpkyqcRgCQCqNCH9SyOCTjj2SKBWDpbsB8OwnvSyf4sMbEVyicHOAjRq5LGuAZoD1GQz41p9qxE_7_DB9UvxCW-&_nc_zt=23&_nc_ht=scontent-cdg6-1.xx&_nc_gid=RuATvpxH1_XSzYELyXzHZg&_nc_ss=7b289&oh=00_Af7gLGVObFx8MMAy1QBk7cvyn6rKREBwQwyZS6gVEPmXWA&oe=6A20A13B,https://www.mairie-longevillesurmer.fr/,LONGE 03,PLAGE DU BOUIL,46.4088190,-1.5326231,⛱️ ACCÈS PLAGE,⛱️ SABLE,,https://www.mairie-longevillesurmer.fr/medias/2025/04/2025-123-Reglementation-baignades-et-securite-des-plages.pdf,"AUCUN, 🚯 SANS POUBELLE, 🅿️ PARKING, 🏁 ZONE D'ACTIVITÉS NAUTIQUES",AUCUN,AUCUN,AUCUN,AUCUN
4,FRANCE,PAYS DE LA LOIRE,VENDÉE,LONGEVILLE SUR MER,46.4239905,-1.4897044,https://scontent-cdg6-1.xx.fbcdn.net/v/t39.30808-6/307579920_468239052016022_695035477083931743_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=6ee11a&_nc_ohc=LEg2SLQGJowQ7kNvwE9CNsc&_nc_oc=AdpkyqcRgCQCqNCH9SyOCTjj2SKBWDpbsB8OwnvSyf4sMbEVyicHOAjRq5LGuAZoD1GQz41p9qxE_7_DB9UvxCW-&_nc_zt=23&_nc_ht=scontent-cdg6-1.xx&_nc_gid=RuATvpxH1_XSzYELyXzHZg&_nc_ss=7b289&oh=00_Af7gLGVObFx8MMAy1QBk7cvyn6rKREBwQwyZS6gVEPmXWA&oe=6A20A13B,https://www.mairie-longevillesurmer.fr/,LONGE 04,PLAGE DE LA CRABASSE DU PUITS,46.4081614,-1.5309625,⛱️ ACCÈS PLAGE,⛱️🪨 SABLE / ROCHERS,,https://www.mairie-longevillesurmer.fr/medias/2025/04/2025-123-Reglementation-baignades-et-securite-des-plages.pdf,"AUCUN, 🚯 SANS POUBELLE",AUCUN,AUCUN,AUCUN,AUCUN
5,FRANCE,PAYS DE LA LOIRE,VENDÉE,LONGEVILLE SUR MER,46.4239905,-1.4897044,https://scontent-cdg6-1.xx.fbcdn.net/v/t39.30808-6/307579920_468239052016022_695035477083931743_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=6ee11a&_nc_ohc=LEg2SLQGJowQ7kNvwE9CNsc&_nc_oc=AdpkyqcRgCQCqNCH9SyOCTjj2SKBWDpbsB8OwnvSyf4sMbEVyicHOAjRq5LGuAZoD1GQz41p9qxE_7_DB9UvxCW-&_nc_zt=23&_nc_ht=scontent-cdg6-1.xx&_nc_gid=RuATvpxH1_XSzYELyXzHZg&_nc_ss=7b289&oh=00_Af7gLGVObFx8MMAy1QBk7cvyn6rKREBwQwyZS6gVEPmXWA&oe=6A20A13B,https://www.mairie-longevillesurmer.fr/,LONGE 05,PLAGE DU RAISINET,46.4065897,-1.5268165,⛱️ ACCÈS PLAGE,⛱️🪨 SABLE / ROCHERS,,https://www.mairie-longevillesurmer.fr/medias/2025/04/2025-123-Reglementation-baignades-et-securite-des-plages.pdf,"AUCUN, 🚯 SANS POUBELLE",AUCUN,AUCUN,AUCUN,AUCUN
6,FRANCE,PAYS DE LA LOIRE,VENDÉE,LONGEVILLE SUR MER,46.4239905,-1.4897044,https://scontent-cdg6-1.xx.fbcdn.net/v/t39.30808-6/307579920_468239052016022_695035477083931743_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=6ee11a&_nc_ohc=LEg2SLQGJowQ7kNvwE9CNsc&_nc_oc=AdpkyqcRgCQCqNCH9SyOCTjj2SKBWDpbsB8OwnvSyf4sMbEVyicHOAjRq5LGuAZoD1GQz41p9qxE_7_DB9UvxCW-&_nc_zt=23&_nc_ht=scontent-cdg6-1.xx&_nc_gid=RuATvpxH1_XSzYELyXzHZg&_nc_ss=7b289&oh=00_Af7gLGVObFx8MMAy1QBk7cvyn6rKREBwQwyZS6gVEPmXWA&oe=6A20A13B,https://www.mairie-longevillesurmer.fr/,LONGE 06,PLAGE DE RAMPILLON,46.4054441,-1.5211524,⛱️ ACCÈS PLAGE,⛱️🪨 SABLE / ROCHERS,,https://www.mairie-longevillesurmer.fr/medias/2025/04/2025-123-Reglementation-baignades-et-securite-des-plages.pdf,"AUCUN, 🚯 SANS POUBELLE",AUCUN,AUCUN,AUCUN,AUCUN
7,FRANCE,PAYS DE LA LOIRE,VENDÉE,LONGEVILLE SUR MER,46.4239905,-1.4897044,https://scontent-cdg6-1.xx.fbcdn.net/v/t39.30808-6/307579920_468239052016022_695035477083931743_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=6ee11a&_nc_ohc=LEg2SLQGJowQ7kNvwE9CNsc&_nc_oc=AdpkyqcRgCQCqNCH9SyOCTjj2SKBWDpbsB8OwnvSyf4sMbEVyicHOAjRq5LGuAZoD1GQz41p9qxE_7_DB9UvxCW-&_nc_zt=23&_nc_ht=scontent-cdg6-1.xx&_nc_gid=RuATvpxH1_XSzYELyXzHZg&_nc_ss=7b289&oh=00_Af7gLGVObFx8MMAy1QBk7cvyn6rKREBwQwyZS6gVEPmXWA&oe=6A20A13B,https://www.mairie-longevillesurmer.fr/,LONGE 07,PLAGE DES ROSES,46.4036159,-1.5127937,⛱️ ACCÈS PLAGE,⛱️🪨 SABLE / ROCHERS,,https://www.mairie-longevillesurmer.fr/medias/2025/04/2025-123-Reglementation-baignades-et-securite-des-plages.pdf,"AUCUN, 🚯 SANS POUBELLE",AUCUN,AUCUN,AUCUN,AUCUN
8,FRANCE,PAYS DE LA LOIRE,VENDÉE,LONGEVILLE SUR MER,46.4239905,-1.4897044,https://scontent-cdg6-1.xx.fbcdn.net/v/t39.30808-6/307579920_468239052016022_695035477083931743_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=6ee11a&_nc_ohc=LEg2SLQGJowQ7kNvwE9CNsc&_nc_oc=AdpkyqcRgCQCqNCH9SyOCTjj2SKBWDpbsB8OwnvSyf4sMbEVyicHOAjRq5LGuAZoD1GQz41p9qxE_7_DB9UvxCW-&_nc_zt=23&_nc_ht=scontent-cdg6-1.xx&_nc_gid=RuATvpxH1_XSzYELyXzHZg&_nc_ss=7b289&oh=00_Af7gLGVObFx8MMAy1QBk7cvyn6rKREBwQwyZS6gVEPmXWA&oe=6A20A13B,https://www.mairie-longevillesurmer.fr/,LONGE 08,PLAGE DES FLOTS BLEUS,46.4022012,-1.5100681,⛱️ ACCÈS PLAGE,⛱️🪨 SABLE / ROCHERS,,https://www.mairie-longevillesurmer.fr/medias/2025/04/2025-123-Reglementation-baignades-et-securite-des-plages.pdf,"AUCUN, 🚯 SANS POUBELLE",AUCUN,AUCUN,AUCUN,AUCUN
9,FRANCE,PAYS DE LA LOIRE,VENDÉE,LONGEVILLE SUR MER,46.4239905,-1.4897044,https://scontent-cdg6-1.xx.fbcdn.net/v/t39.30808-6/307579920_468239052016022_695035477083931743_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=6ee11a&_nc_ohc=LEg2SLQGJowQ7kNvwE9CNsc&_nc_oc=AdpkyqcRgCQCqNCH9SyOCTjj2SKBWDpbsB8OwnvSyf4sMbEVyicHOAjRq5LGuAZoD1GQz41p9qxE_7_DB9UvxCW-&_nc_zt=23&_nc_ht=scontent-cdg6-1.xx&_nc_gid=RuATvpxH1_XSzYELyXzHZg&_nc_ss=7b289&oh=00_Af7gLGVObFx8MMAy1QBk7cvyn6rKREBwQwyZS6gVEPmXWA&oe=6A20A13B,https://www.mairie-longevillesurmer.fr/,LONGE 09,PLAGE DU ROCHER,46.4006176,-1.5064563,🚨 POSTE DE SECOURS,⛱️🪨 SABLE / ROCHERS,https://pv.viewsurf.com/2000/Longeville-sur-mer-Plage-du-Rocher?i=NzMzNjp1bmRlZmluZWQ,https://www.mairie-longevillesurmer.fr/medias/2025/04/2025-123-Reglementation-baignades-et-securite-des-plages.pdf,"🚯 SANS POUBELLE, 🚻 TOILETTES, 🅿️ PARKING, 🏁 ZONE D'ACTIVITÉS NAUTIQUES",♿ HANDIPLAGE,"♿ HANDIPLAGE, 👨‍🦽 ACCÈS PMR","🅿️ PARKING PMR, 🦽 TIRALO, 🦽 HIPPOCAMPE, 🚿 DOUCHE ADAPTÉE, ABRI CONTRE LE SOLEIL",🚨🅿️🚻♿🛣️🚿🏠NIVEAU 3
10,FRANCE,PAYS DE LA LOIRE,VENDÉE,LONGEVILLE SUR MER,46.4239905,-1.4897044,https://scontent-cdg6-1.xx.fbcdn.net/v/t39.30808-6/307579920_468239052016022_695035477083931743_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=6ee11a&_nc_ohc=LEg2SLQGJowQ7kNvwE9CNsc&_nc_oc=AdpkyqcRgCQCqNCH9SyOCTjj2SKBWDpbsB8OwnvSyf4sMbEVyicHOAjRq5LGuAZoD1GQz41p9qxE_7_DB9UvxCW-&_nc_zt=23&_nc_ht=scontent-cdg6-1.xx&_nc_gid=RuATvpxH1_XSzYELyXzHZg&_nc_ss=7b289&oh=00_Af7gLGVObFx8MMAy1QBk7cvyn6rKREBwQwyZS6gVEPmXWA&oe=6A20A13B,https://www.mairie-longevillesurmer.fr/,LONGE 10,PLAGE DES GRANDES PLANTES,46.3992650,-1.5039532,⛱️ ACCÈS PLAGE,⛱️ SABLE,,https://www.mairie-longevillesurmer.fr/medias/2025/04/2025-123-Reglementation-baignades-et-securite-des-plages.pdf,"AUCUN, 🚯 SANS POUBELLE",AUCUN,AUCUN,AUCUN,AUCUN
