Saison balnéaire;Région;Département;Code unique d'identification du site de baignade;Précédent code unique d'identification du site de baignade;Evolution 2025 vs. 2024;Nom du site de baignade;Code INSEE de la commune;Nom de la commune;Date déclaration UE;Type d'eau;Longitude (ETRS 89);Latitude (ETRS 89)
2025;Auvergne-Rhône-Alpes;001;FRK2101010D001530; ;Pas de changement;PLAN D'EAU D'ANGLEFORT;01010;ANGLEFORT;01/07/2019;Lac;5,81195997499;45,90461858507
2025;Auvergne-Rhône-Alpes;001;FRK2101053D001570; ;Pas de changement;BOURG EN BRESSE - PLAN D'EAU DU PARC DE LOISIRS DE BOUVENT;01053;BOURG-EN-BRESSE;01/01/1992;Lac;5,26129830389;46,18920188895
2025;Auvergne-Rhône-Alpes;001;FRK2101058D001580; ;Pas de changement;BREGNIER-CORDON - PLAN D'EAU COMMUNAL DE GLANDIEU;01058;BREGNIER-CORDON;01/01/1992;Lac;5,60948518831;45,65660355480
2025;Auvergne-Rhône-Alpes;001;FRK2101087D001600; ;Pas de changement;CHARIX - LAC GENIN;01087;CHARIX;01/01/1992;Lac;5,69612885847;46,22020927234
2025;Auvergne-Rhône-Alpes;001;FRK2101099D001150; ;Pas de changement;CHAZEY-SUR-AIN - RIVE GAUCHE DE L'AIN EN AMONT DU PONT SUR L'AIN;01099;CHAZEY-SUR-AIN;01/01/1992;Rivière;5,23397216644;45,90788407800
2025;Auvergne-Rhône-Alpes;001;FRK2101099D001605; ;Pas de changement;CHAZEY-SUR-AIN - PLAN D'EAU COMMUNAL EN AVAL DU PONT DE CHAZEY;01099;CHAZEY-SUR-AIN;01/01/1992;Lac;5,23884672862;45,90240056381
2025;Auvergne-Rhône-Alpes;001;FRK2101123D001607; ;Changement mineur;"CORMORANCHE/SAONE PLAN D'EAU DE LA BASE DE LOISIRS ""LA PIERRE THORION""";01123;CORMORANCHE-SUR-SAONE;01/01/1992;Lac;4,82520390299;46,25298419162
2025;Auvergne-Rhône-Alpes;001;FRK2101133D001311; ;Changement mineur;PARC AQUATIQUE - PLAGE DE L’ÉCOINÇON;01133;CRESSIN-ROCHEFORT;26/06/2021;Rivière;5,77000533400;45,77506571967
2025;Auvergne-Rhône-Alpes;001;FRK2101143D001620; ;Pas de changement;DIVONNE-LES-BAINS - LAC DE DIVONNE;01143;DIVONNE-LES-BAINS;01/01/1992;Lac;6,14946355382;46,35401680170
2025;Auvergne-Rhône-Alpes;001;FRK2101184D001110; ;Pas de changement;HAUTECOURT-ROMANECHE - PLAGE DE L'ILE CHAMBOD RIVIERE D'AIN;01184;HAUTECOURT-ROMANECHE;01/01/1992;Rivière;5,43237199475;46,12942546141
2025;Auvergne-Rhône-Alpes;001;FRK2101204D001631; ;Pas de changement;PLAN D'EAU DE LE POIZAT - LALLEYRIAT;01204;POIZAT-LALLEYRIAT (LE);01/06/2019;Lac;5,71341983595;46,15129372299
2025;Auvergne-Rhône-Alpes;001;FRK2101229D001650; ;Changement mineur;"MALAFRETAZ - PLAN D'EAU DE LA BASE DE PLEIN AIR ""LA PLAINE TONIQUE""";01229;MALAFRETAZ;01/01/2003;Lac;5,13900099282;46,34088707486
2025;Auvergne-Rhône-Alpes;001;FRK2101239D001320; ;Changement mineur;"MASSIGNIEU DE RIVES - PLAGE DU ""LIT AU ROI"" CANAL DU RHONE";01239;MASSIGNIEU-DE-RIVES;01/01/1992;Rivière;5,76904151913;45,76868296868
