id_sphot,pays,region,departement,ville,nom_secours,nom_sphot,latitude,longitude,type_sphot,nature_sphot,equipement,label_plage,acces_pmr,moyen_pmr,labels_pmr,statut_baignade,période,heure_début,heure_fin,couleur,mat,temperature_air,temperature_eau,marée_haute1,marée_basse1,marée_haute2,marée_basse2,coef1,coef2,heure_prevision,ciel,mer,vent_vitesse,vent_rafale,vent_direction,houle_hauteur,houle_periode,uv,dangers,commentaire,ephemeride,dicton,activite,commerce,date_maj
1,FRANCE,PAYS DE LA LOIRE,VENDÉE,LONGEVILLE SUR MER,LONGE 01,PLAGE DU GOULET,46.4098229,-1.5398990,⛱️ ACCÈS PLAGE,⛱️ SABLE,"AUCUN, 🚯 SANS POUBELLE, 🅿️ PARKING, 🚻 TOILETTES",AUCUN,AUCUN,AUCUN,AUCUN,⚠️ NON SURVEILLÉE ⚠️ BAIGNADE À VOS RISQUES ET PÉRILS,,,,,,,,,,,,,,,,,,,,,,,⚠️ NON RENSEIGNÉ,,,,❔ NON RENSEIGNÉ,AUCUN,
2,FRANCE,PAYS DE LA LOIRE,VENDÉE,LONGEVILLE SUR MER,LONGE 02,PLAGE DE LA CARTIÈRE AUX CHATS,46.4094508,-1.5371528,⛱️ ACCÈS PLAGE,⛱️ SABLE,"AUCUN, 🚯 SANS POUBELLE",AUCUN,AUCUN,AUCUN,AUCUN,⚠️ NON SURVEILLÉE ⚠️ BAIGNADE À VOS RISQUES ET PÉRILS,,,,,,,,,,,,,,,,,,,,,,,⚠️ NON RENSEIGNÉ,,,,❔ NON RENSEIGNÉ,AUCUN,
3,FRANCE,PAYS DE LA LOIRE,VENDÉE,LONGEVILLE SUR MER,LONGE 03,PLAGE DU BOUIL,46.4088190,-1.5326231,⛱️ ACCÈS PLAGE,⛱️ SABLE,"AUCUN, 🚯 SANS POUBELLE, 🅿️ PARKING, 🏁 ZONE D'ACTIVITÉS NAUTIQUES",AUCUN,AUCUN,AUCUN,AUCUN,⚠️ NON SURVEILLÉE ⚠️ BAIGNADE À VOS RISQUES ET PÉRILS,,,,,,,,,,,,,,,,,,,,,,,⚠️ NON RENSEIGNÉ,,,,⛵ CATAMARAN,"🍴 RESTAURATION, 🤙 LOCATIONS ÉQUIPEMENTS NAUTIQUES, 🏄⛵ COURS ACTIVITÉS NAUTIQUES, 🏄⛵ ÉCOLE / CLUB NAUTIQUE, 🏕️ CAMPING",
4,FRANCE,PAYS DE LA LOIRE,VENDÉE,LONGEVILLE SUR MER,LONGE 04,PLAGE DE LA CRABASSE DU PUITS,46.4081614,-1.5309625,⛱️ ACCÈS PLAGE,⛱️🪨 SABLE / ROCHERS,"AUCUN, 🚯 SANS POUBELLE",AUCUN,AUCUN,AUCUN,AUCUN,⚠️ NON SURVEILLÉE ⚠️ BAIGNADE À VOS RISQUES ET PÉRILS,,,,,,,,,,,,,,,,,,,,,,,⚠️ NON RENSEIGNÉ,,,,❔ NON RENSEIGNÉ,AUCUN,
5,FRANCE,PAYS DE LA LOIRE,VENDÉE,LONGEVILLE SUR MER,LONGE 05,PLAGE DU RAISINET,46.4065897,-1.5268165,⛱️ ACCÈS PLAGE,⛱️🪨 SABLE / ROCHERS,"AUCUN, 🚯 SANS POUBELLE",AUCUN,AUCUN,AUCUN,AUCUN,⚠️ NON SURVEILLÉE ⚠️ BAIGNADE À VOS RISQUES ET PÉRILS,,,,,,,,,,,,,,,,,,,,,,,⚠️ NON RENSEIGNÉ,,,,"PÊCHE À PIED, 💨 KITESURF",AUCUN,
6,FRANCE,PAYS DE LA LOIRE,VENDÉE,LONGEVILLE SUR MER,LONGE 06,PLAGE DE RAMPILLON,46.4054441,-1.5211524,⛱️ ACCÈS PLAGE,⛱️🪨 SABLE / ROCHERS,"AUCUN, 🚯 SANS POUBELLE",AUCUN,AUCUN,AUCUN,AUCUN,⚠️ NON SURVEILLÉE ⚠️ BAIGNADE À VOS RISQUES ET PÉRILS,,,,,,,,,,,,,,,,,,,,,,,⚠️ NON RENSEIGNÉ,,,,PÊCHE À PIED,AUCUN,
7,FRANCE,PAYS DE LA LOIRE,VENDÉE,LONGEVILLE SUR MER,LONGE 07,PLAGE DES ROSES,46.4036159,-1.5127937,⛱️ ACCÈS PLAGE,⛱️🪨 SABLE / ROCHERS,"AUCUN, 🚯 SANS POUBELLE",AUCUN,AUCUN,AUCUN,AUCUN,⚠️ NON SURVEILLÉE ⚠️ BAIGNADE À VOS RISQUES ET PÉRILS,,,,,,,,,,,,,,,,,,,,,,,⚠️ NON RENSEIGNÉ,,,,PÊCHE À PIED,AUCUN,
8,FRANCE,PAYS DE LA LOIRE,VENDÉE,LONGEVILLE SUR MER,LONGE 08,PLAGE DES FLOTS BLEUS,46.4022012,-1.5100681,⛱️ ACCÈS PLAGE,⛱️🪨 SABLE / ROCHERS,"AUCUN, 🚯 SANS POUBELLE",AUCUN,AUCUN,AUCUN,AUCUN,⚠️ NON SURVEILLÉE ⚠️ BAIGNADE À VOS RISQUES ET PÉRILS,,,,,,,,,,,,,,,,,,,,,,,⚠️ NON RENSEIGNÉ,,,,PÊCHE À PIED,AUCUN,
9,FRANCE,PAYS DE LA LOIRE,VENDÉE,LONGEVILLE SUR MER,LONGE 09,PLAGE DU ROCHER,46.4006176,-1.5064563,🚨 POSTE DE SECOURS,⛱️🪨 SABLE / ROCHERS,"🚯 SANS POUBELLE, 🚻 TOILETTES, 🅿️ PARKING, 🏁 ZONE D'ACTIVITÉS NAUTIQUES",♿ HANDIPLAGE,"♿ HANDIPLAGE, 👨‍🦽 ACCÈS PMR","🅿️ PARKING PMR, 🦽 TIRALO, 🦽 HIPPOCAMPE, 🚿 DOUCHE ADAPTÉE, ABRI CONTRE LE SOLEIL",🚨🅿️🚻♿🛣️🚿🏠NIVEAU 3,🚨 SURVEILLÉE,01/07/2026 - 31/08/2026,11h00,19h00,VERT - BAIGNADE SURVEILLÉE,HISSÉ,20°C,20°C,17h45,06h13,00h15,,72,75,11h00,☀️ ENSOLEILLÉ,RIDÉE,10 km/h,15 km/h,NNE,"0,5 m","10,0 s",3-4 MODÉRÉ,AUCUN,Belle journée,St Benoît,À la St Glinglin fait gaffe à ton cul!,"🏄 SURF, 🌊 BODYBOARD, 🌊 BODYSURF, STAND UP PADDLE, LONGE CÔTE, KAYAK SURF, WAVESKI","🍴 RESTAURATION, 🏕️ CAMPING, 🤙 LOCATIONS ÉQUIPEMENTS NAUTIQUES, ⛱️ LOCATION / COMMERCE DE PLAGE, 🏄⛵ COURS ACTIVITÉS NAUTIQUES",05/07/2026
10,FRANCE,PAYS DE LA LOIRE,VENDÉE,LONGEVILLE SUR MER,LONGE 10,PLAGE DES GRANDES PLANTES,46.3992650,-1.5039532,⛱️ ACCÈS PLAGE,⛱️ SABLE,"AUCUN, 🚯 SANS POUBELLE",AUCUN,AUCUN,AUCUN,AUCUN,⚠️ NON SURVEILLÉE ⚠️ BAIGNADE À VOS RISQUES ET PÉRILS,,,,,,,,,,,,,,,,,,,,,,,⚠️ NON RENSEIGNÉ,,,,❔ NON RENSEIGNÉ,AUCUN,
11,FRANCE,PAYS DE LA LOIRE,VENDÉE,LONGEVILLE SUR MER,LONGE 11,PLAGE D'INDRE ET LOIRE,46.3970057,-1.5009539,⛱️ ACCÈS PLAGE,⛱️ SABLE,"AUCUN, 🚯 SANS POUBELLE",AUCUN,AUCUN,AUCUN,AUCUN,⚠️ NON SURVEILLÉE ⚠️ BAIGNADE À VOS RISQUES ET PÉRILS,,,,,,,,,,,,,,,,,,,,,,,⚠️ NON RENSEIGNÉ,,,,❔ NON RENSEIGNÉ,AUCUN,
12,FRANCE,PAYS DE LA LOIRE,VENDÉE,LONGEVILLE SUR MER,LONGE 12,PLAGE DE LA FORÊT,46.3906899,-1.4950759,⛱️ ACCÈS PLAGE,⛱️ SABLE,"AUCUN, 🚯 SANS POUBELLE",AUCUN,AUCUN,AUCUN,AUCUN,⚠️ NON SURVEILLÉE ⚠️ BAIGNADE À VOS RISQUES ET PÉRILS,,,,,,,,,,,,,,,,,,,,,,,⚠️ NON RENSEIGNÉ,,,,❔ NON RENSEIGNÉ,AUCUN,
13,FRANCE,PAYS DE LA LOIRE,VENDÉE,LONGEVILLE SUR MER,LONGE 13,PLAGE DES CONCHES,46.3893825,-1.4942598,🚨 POSTE DE SECOURS,⛱️ SABLE,"🚯 SANS POUBELLE, 🚻 TOILETTES, 🅿️ PARKING, 🏁 ZONE D'ACTIVITÉS NAUTIQUES",AUCUN,AUCUN,AUCUN,AUCUN,🚨 SURVEILLÉE,01/07/2026 - 31/08/2026,11h00,19h00,JAUNE - BAIGNADE SURVEILLÉE MAIS DANGEREUSE,⚠️ AFFALÉ ⚠️ BAIGNADE NON SURVEILLÉE TEMPORAIREMENT ⚠️ BAIGNADE À VOS RISQUES ET PÉRILS,21°C,21°C,17h45,06h13,00h15,,72,75,09h30,🌤️ LÉGÈREMENT NUAGEUX,PEU AGITÉE,22 km/h,35 km/h,NE,"1,2 m","15,0 s",5-6 ÉLEVÉ,"⚠️ COURANTS, ⚠️ BAÏNES",Merci de bien respecter la Zone de Baignade Surveillée,St benoît,Boire n'est pas jouer,"🏄 SURF, 🌊 BODYBOARD, 🌊 BODYSURF, STAND UP PADDLE, LONGE CÔTE, KAYAK SURF, WAVESKI","🍴 RESTAURATION, 🏕️ CAMPING, 🤙 LOCATIONS ÉQUIPEMENTS NAUTIQUES, 🏄⛵ COURS ACTIVITÉS NAUTIQUES, 🏄⛵ ÉCOLE / CLUB NAUTIQUE",22/07/2026
14,FRANCE,PAYS DE LA LOIRE,VENDÉE,LONGEVILLE SUR MER,LONGE 14,PLAGE DES PIGNONS,46.3861807,-1.4915892,⛱️ ACCÈS PLAGE,⛱️ SABLE,"AUCUN, 🚯 SANS POUBELLE",AUCUN,AUCUN,AUCUN,AUCUN,⚠️ NON SURVEILLÉE ⚠️ BAIGNADE À VOS RISQUES ET PÉRILS,,,,,,,,,,,,,,,,,,,,,,,⚠️ NON RENSEIGNÉ,,,,❔ NON RENSEIGNÉ,AUCUN,
